,place_resid,stateco_resid,placename_resid,place_work,stateco_work,placename_work,county_resid,county_work,FLOW_FLAG,total00,yr00_total,yr00_dralone,yr00_carpool2,yr00_carpool3,yr00_carpool4,yr00_carpool56,yr00_carpool7p,yr00_bus,yr00_trolley,yr00_subway,yr00_railroad,yr00_ferry,yr00_bicycle,yr00_walk,yr00_taxi,yr00_mcycle,yr00_other,yr00_athome,yr00_transit,yr00_carpool3p,yr00_totalnh,tt00_totalnh,tt00_dralone,tt00_carpool2,tt00_carpool3p,tt00_btransit,tt00_rtransit,tt00_other5,aggtime00,yr00_driver,yr00_vehocc,yr00_carpdriver,yr00_carpocc,commute_id
32434,54806,6081,Pacifica,53000,6001,Oakland,San Mateo,Alameda,Y,365.0,365.0,175.0,40.0,0.0,0.0,4.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,4.0,365.0,45.7,42.5,40.7,40.0,0.0,51.4,0.0,16585.0,200.0,1.13,20.0,2.17,548066081530006001
32665,55156,6037,Palmdale,53000,6001,Oakland,Los Angeles,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,120.0,1080.0,0.0,0.0,0.0,0.0,551566037530006001
32895,55254,6065,Palm Springs,53000,6001,Oakland,Riverside,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,1.0,0.0,0.0,552546065530006001
32986,55282,6085,Palo Alto,53000,6001,Oakland,Santa Clara,Alameda,Y,95.0,95.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,95.0,50.1,44.3,0.0,0.0,0.0,70.5,0.0,4760.0,75.0,1.0,0.0,0.0,552826085530006001
33331,55837,6067,Parkway-South Sacramento,53000,6001,Oakland,Sacramento,Alameda,N,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,66.5,0.0,0.0,0.0,0.0,0.0,1530.0,25.0,1.0,0.0,0.0,558376067530006001
33591,56112,6099,Patterson,53000,6001,Oakland,Stanislaus,Alameda,Y,30.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,30.0,101.4,69.4,0.0,0.0,0.0,90.0,200.0,2940.0,15.0,1.0,0.0,0.0,561126099530006001
33890,56784,6097,Petaluma,53000,6001,Oakland,Sonoma,Alameda,Y,225.0,225.0,185.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,225.0,65.5,60.7,89.7,75.0,0.0,0.0,0.0,14800.0,205.0,1.1,20.0,2.05,567846097530006001
33963,56871,6109,Phoenix Lake-Cedar Ridge,53000,6001,Oakland,Tuolumne,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,90.0,4.0,1.0,0.0,0.0,568716109530006001
34150,56938,6001,Piedmont,53000,6001,Oakland,Alameda,Alameda,Y,1690.0,1690.0,1445.0,135.0,15.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,25.0,35.0,0.0,10.0,4.0,0.0,15.0,19.0,1690.0,15.2,15.3,11.0,24.5,35.0,0.0,14.9,25685.0,1520.0,1.05,75.0,2.11,569386001530006001
34236,57288,6013,Pinole,53000,6001,Oakland,Contra Costa,Alameda,Y,870.0,870.0,670.0,100.0,25.0,4.0,0.0,4.0,4.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,33.0,870.0,42.2,39.6,43.1,48.1,60.0,65.5,0.0,36610.0,730.0,1.1,60.0,2.26,572886013530006001
34364,57456,6013,Pittsburg,53000,6001,Oakland,Contra Costa,Alameda,Y,1380.0,1380.0,695.0,255.0,0.0,25.0,15.0,0.0,20.0,0.0,300.0,45.0,0.0,0.0,4.0,0.0,0.0,15.0,0.0,365.0,40.0,1380.0,57.7,51.7,53.1,52.0,76.4,72.4,63.9,79535.0,835.0,1.19,140.0,2.16,574566013530006001
34538,57526,6059,Placentia,53000,6001,Oakland,Orange,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,135.0,10.0,1.0,0.0,0.0,575266059530006001
34643,57582,6047,Planada,53000,6001,Oakland,Merced,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,90.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,575826047530006001
34698,57764,6013,Pleasant Hill,53000,6001,Oakland,Contra Costa,Alameda,Y,1320.0,1320.0,920.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,1320.0,38.8,36.0,39.4,0.0,0.0,49.2,0.0,51085.0,1005.0,1.08,85.0,2.0,577646013530006001
34802,57792,6001,Pleasanton,53000,6001,Oakland,Alameda,Alameda,Y,1515.0,1515.0,1105.0,145.0,20.0,15.0,0.0,0.0,10.0,4.0,140.0,40.0,0.0,0.0,25.0,0.0,0.0,15.0,0.0,194.0,35.0,1515.0,37.9,33.5,39.2,43.1,8.0,67.6,20.6,57310.0,1185.0,1.08,80.0,2.18,577926001530006001
34998,58072,6037,Pomona,53000,6001,Oakland,Los Angeles,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,300.0,4.0,1.0,0.0,0.0,580726037530006001
35249,58380,6081,Portola Valley,53000,6001,Oakland,San Mateo,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,300.0,4.0,1.0,0.0,0.0,583806081530006001
35376,58870,6053,Prunedale,53000,6001,Oakland,Monterey,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,540.0,4.0,1.0,0.0,0.0,588706053530006001
35520,59426,6009,Rancho Calaveras,53000,6001,Oakland,Calaveras,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,10.0,4.0,2.0,4.0,2.0,594266009530006001
35579,59444,6067,Rancho Cordova,53000,6001,Oakland,Sacramento,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,92.9,0.0,0.0,0.0,0.0,0.0,650.0,4.0,1.0,0.0,0.0,594446067530006001
35743,59451,6071,Rancho Cucamonga,53000,6001,Oakland,San Bernardino,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,0.0,0.0,0.0,0.0,25.0,56.7,490.0,0.0,0.0,0.0,0.0,594516071530006001
36417,59962,6071,Redlands,53000,6001,Oakland,San Bernardino,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,1200.0,4.0,1.0,0.0,0.0,599626071530006001
36669,60102,6081,Redwood City,53000,6001,Oakland,San Mateo,Alameda,Y,235.0,235.0,205.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,235.0,41.5,39.2,63.3,0.0,0.0,70.0,40.0,9805.0,210.0,1.03,4.0,2.0,601026081530006001
36846,60466,6071,Rialto,53000,6001,Oakland,San Bernardino,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,22.9,0.0,0.0,0.0,0.0,0.0,160.0,4.0,1.0,0.0,0.0,604666071530006001
36999,60620,6013,Richmond,53000,6001,Oakland,Contra Costa,Alameda,Y,5190.0,5190.0,3130.0,730.0,120.0,50.0,40.0,4.0,265.0,15.0,700.0,40.0,0.0,0.0,15.0,20.0,0.0,65.0,0.0,1020.0,214.0,5190.0,36.7,34.4,36.5,33.4,56.5,41.1,32.4,190720.0,3555.0,1.15,425.0,2.22,606206013530006001
37270,60984,6095,Rio Vista,53000,6001,Oakland,Solano,Alameda,Y,20.0,20.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,20.0,85.2,60.0,0.0,58.0,0.0,120.0,0.0,1790.0,10.0,1.38,4.0,3.0,609846095530006001
37321,61026,6077,Ripon,53000,6001,Oakland,San Joaquin,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,630.0,10.0,1.0,0.0,0.0,610266077530006001
37389,61068,6099,Riverbank,53000,6001,Oakland,Stanislaus,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,810.0,10.0,1.0,0.0,0.0,610686099530006001
37576,62000,6065,Riverside,53000,6001,Oakland,Riverside,Alameda,Y,20.0,20.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,45.0,15.0,45.0,0.0,0.0,0.0,75.0,990.0,10.0,1.45,4.0,2.0,620006065530006001
37716,62364,6061,Rocklin,53000,6001,Oakland,Placer,Alameda,Y,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,79.6,79.6,0.0,0.0,0.0,0.0,0.0,2070.0,25.0,1.0,0.0,0.0,623646061530006001
37798,62490,6013,Rodeo,53000,6001,Oakland,Contra Costa,Alameda,Y,290.0,290.0,180.0,80.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,290.0,42.6,41.8,46.1,36.4,0.0,45.0,0.0,12300.0,225.0,1.25,45.0,2.22,624906013530006001
37870,62546,6097,Rohnert Park,53000,6001,Oakland,Sonoma,Alameda,Y,80.0,80.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,71.1,62.6,86.3,0.0,0.0,0.0,0.0,5545.0,65.0,1.22,15.0,2.0,625466097530006001
38010,62700,6013,Rollingwood,53000,6001,Oakland,Contra Costa,Alameda,Y,80.0,80.0,65.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,2845.0,70.0,1.1,10.0,2.0,627006013530006001
38163,62868,6097,Roseland,53000,6001,Oakland,Sonoma,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,540.0,4.0,2.0,4.0,2.0,628686097530006001
38457,62938,6061,Roseville,53000,6001,Oakland,Placer,Alameda,Y,65.0,65.0,40.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,65.0,110.2,121.2,35.0,120.0,0.0,0.0,0.0,7050.0,50.0,1.26,10.0,2.54,629386061530006001
38690,63218,6037,Rowland Heights,53000,6001,Oakland,Los Angeles,Alameda,N,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,400.0,15.0,1.38,4.0,2.0,632186037530006001
39021,64000,6067,Sacramento,53000,6001,Oakland,Sacramento,Alameda,Y,265.0,265.0,210.0,15.0,0.0,0.0,10.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,35.0,265.0,94.5,90.7,115.7,80.5,0.0,140.0,200.0,24950.0,220.0,1.15,10.0,3.79,640006067530006001
39140,64140,6055,St. Helena,53000,6001,Oakland,Napa,Alameda,N,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7,120.0,0.0,0.0,0.0,35.0,0.0,1515.0,10.0,1.0,0.0,0.0,641406055530006001
39195,64210,6099,Salida,53000,6001,Oakland,Stanislaus,Alameda,Y,120.0,120.0,70.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,120.0,66.8,62.9,67.9,77.0,0.0,0.0,0.0,8010.0,90.0,1.32,20.0,2.35,642106099530006001
39279,64224,6053,Salinas,53000,6001,Oakland,Monterey,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,240.0,10.0,1.0,0.0,0.0,642246053530006001
39352,64434,6041,San Anselmo,53000,6001,Oakland,Marin,Alameda,Y,95.0,95.0,65.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,95.0,45.0,46.4,40.3,45.0,0.0,0.0,0.0,4185.0,75.0,1.23,10.0,2.6,644346041530006001
39548,65000,6071,San Bernardino,53000,6001,Oakland,San Bernardino,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,105.0,4.0,4.0,4.0,4.0,650006071530006001
39668,65028,6081,San Bruno,53000,6001,Oakland,San Mateo,Alameda,Y,230.0,230.0,135.0,45.0,15.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,230.0,41.2,37.7,42.8,45.0,0.0,51.4,0.0,9395.0,160.0,1.2,25.0,2.21,650286081530006001
39837,65070,6081,San Carlos,53000,6001,Oakland,San Mateo,Alameda,Y,70.0,70.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,46.0,43.9,60.0,0.0,0.0,0.0,0.0,3130.0,65.0,1.07,4.0,2.0,650706081530006001
40124,66000,6073,San Diego,53000,6001,Oakland,San Diego,Alameda,Y,100.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,100.0,77.2,29.2,0.0,0.0,0.0,0.0,151.5,7870.0,60.0,1.0,0.0,0.0,660006073530006001
40601,67000,6075,San Francisco,53000,6001,Oakland,San Francisco,Alameda,Y,8870.0,8870.0,4640.0,840.0,145.0,50.0,40.0,10.0,675.0,40.0,2160.0,65.0,15.0,40.0,55.0,4.0,40.0,45.0,0.0,2955.0,245.0,8870.0,41.0,36.9,40.8,39.7,51.7,46.8,34.4,363625.0,5130.0,1.12,490.0,2.22,670006075530006001
41140,68000,6085,San Jose,53000,6001,Oakland,Santa Clara,Alameda,Y,1490.0,1490.0,1090.0,180.0,40.0,40.0,15.0,4.0,30.0,10.0,35.0,15.0,0.0,4.0,15.0,0.0,10.0,0.0,0.0,90.0,99.0,1490.0,45.8,44.5,43.5,53.7,49.0,72.6,22.9,68210.0,1205.0,1.13,115.0,2.38,680006085530006001
41400,68084,6001,San Leandro,53000,6001,Oakland,Alameda,Alameda,Y,7575.0,7575.0,5685.0,755.0,155.0,45.0,60.0,0.0,310.0,0.0,390.0,15.0,0.0,30.0,55.0,0.0,0.0,75.0,0.0,715.0,260.0,7575.0,24.7,23.3,22.1,18.1,51.2,32.1,26.3,186885.0,6140.0,1.09,450.0,2.24,680846001530006001
41485,68112,6001,San Lorenzo,53000,6001,Oakland,Alameda,Alameda,Y,1370.0,1370.0,1095.0,145.0,15.0,10.0,0.0,0.0,25.0,0.0,70.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,99.0,25.0,1370.0,25.9,23.6,29.9,38.6,27.7,45.0,25.0,35525.0,1175.0,1.08,80.0,2.14,681126001530006001
41542,68154,6079,San Luis Obispo,53000,6001,Oakland,San Luis Obispo,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,120.0,4.0,1.0,0.0,0.0,681546079530006001
41628,68196,6073,San Marcos,53000,6001,Oakland,San Diego,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,90.0,990.0,0.0,0.0,0.0,0.0,681966073530006001
41820,68252,6081,San Mateo,53000,6001,Oakland,San Mateo,Alameda,Y,450.0,450.0,370.0,10.0,15.0,0.0,4.0,0.0,20.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,44.0,19.0,450.0,40.6,39.2,37.5,31.2,45.7,73.6,30.0,18290.0,380.0,1.05,10.0,2.7,682526081530006001
41914,68294,6013,San Pablo,53000,6001,Oakland,Contra Costa,Alameda,Y,1000.0,1000.0,725.0,115.0,25.0,25.0,0.0,0.0,40.0,0.0,50.0,10.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,100.0,50.0,1000.0,38.9,37.6,45.2,29.9,40.9,46.7,43.5,38890.0,795.0,1.11,70.0,2.28,682946013530006001
42000,68364,6041,San Rafael,53000,6001,Oakland,Marin,Alameda,Y,390.0,390.0,305.0,50.0,4.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,390.0,46.1,43.0,56.8,45.0,70.0,57.9,0.0,17980.0,335.0,1.09,25.0,2.08,683646041530006001
42110,68378,6013,San Ramon,53000,6001,Oakland,Contra Costa,Alameda,Y,1440.0,1440.0,1200.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,135.0,0.0,1440.0,39.0,37.1,32.3,0.0,0.0,61.3,4.0,56050.0,1250.0,1.04,50.0,2.0,683786013530006001
42284,69000,6059,Santa Ana,53000,6001,Oakland,Orange,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,180.0,4.0,1.0,0.0,0.0,690006059530006001
42505,69084,6085,Santa Clara,53000,6001,Oakland,Santa Clara,Alameda,Y,85.0,85.0,70.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,85.0,41.4,34.4,0.0,60.0,0.0,75.0,0.0,3560.0,70.0,1.03,4.0,3.0,690846085530006001
42645,69088,6037,Santa Clarita,53000,6001,Oakland,Los Angeles,Alameda,Y,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,89.1,89.1,0.0,0.0,0.0,0.0,0.0,2050.0,25.0,1.0,0.0,0.0,690886037530006001
42766,69112,6087,Santa Cruz,53000,6001,Oakland,Santa Cruz,Alameda,Y,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,44.5,44.5,0.0,0.0,0.0,0.0,0.0,890.0,20.0,1.0,0.0,0.0,691126087530006001
43228,70098,6097,Santa Rosa,53000,6001,Oakland,Sonoma,Alameda,Y,195.0,195.0,165.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,195.0,60.9,57.6,110.0,77.5,0.0,0.0,60.0,11760.0,170.0,1.06,5.0,2.45,700986097530006001
43308,70154,6041,Santa Venetia,53000,6001,Oakland,Marin,Alameda,Y,40.0,40.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,45.9,46.2,45.0,0.0,0.0,0.0,0.0,1790.0,35.0,1.15,4.0,2.0,701546041530006001
43388,70224,6073,Santee,53000,6001,Oakland,San Diego,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,100.0,4.0,4.0,4.0,4.0,702246073530006001
43448,70280,6085,Saratoga,53000,6001,Oakland,Santa Clara,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,1.0,0.0,0.0,702806085530006001
43499,70364,6041,Sausalito,53000,6001,Oakland,Marin,Alameda,Y,65.0,65.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,65.0,89.4,125.6,0.0,40.0,0.0,60.0,0.0,5720.0,35.0,1.24,4.0,4.0,703646041530006001
43757,70770,6097,Sebastopol,53000,6001,Oakland,Sonoma,Alameda,Y,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,122.5,122.5,0.0,0.0,0.0,0.0,0.0,3675.0,30.0,1.0,0.0,0.0,707706097530006001
43849,71084,6099,Shackelford,53000,6001,Oakland,Stanislaus,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,710846099530006001
44160,72016,6111,Simi Valley,53000,6001,Oakland,Ventura,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,275.0,4.0,1.0,0.0,0.0,720166111530006001
44243,72506,6073,Solana Beach,53000,6001,Oakland,San Diego,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,240.0,10.0,1.0,0.0,0.0,725066073530006001
44334,72646,6097,Sonoma,53000,6001,Oakland,Sonoma,Alameda,Y,30.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.0,67.8,83.9,0.0,0.0,0.0,15.0,0.0,2035.0,25.0,1.0,0.0,0.0,726466097530006001
44731,73178,6007,South Oroville,53000,6001,Oakland,Butte,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,1080.0,10.0,1.0,0.0,0.0,731786007530006001
44902,73262,6081,South San Francisco,53000,6001,Oakland,San Mateo,Alameda,Y,380.0,380.0,200.0,60.0,15.0,20.0,0.0,0.0,25.0,0.0,60.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,85.0,35.0,380.0,42.3,38.8,38.4,50.6,44.1,53.3,30.0,16140.0,240.0,1.22,40.0,2.33,732626081530006001
45332,73472,6101,South Yuba City,53000,6001,Oakland,Sutter,Alameda,N,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,1200.0,10.0,1.0,0.0,0.0,734726101530006001
45459,73906,6085,Stanford,53000,6001,Oakland,Santa Clara,Alameda,N,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,20.0,0.0,0.0,0.0,0.0,1080.0,25.0,1.6,15.0,2.0,739066085530006001
45684,75000,6077,Stockton,53000,6001,Oakland,San Joaquin,Alameda,Y,620.0,620.0,410.0,90.0,15.0,45.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,30.0,70.0,620.0,83.7,83.0,89.0,89.0,10.0,135.0,45.0,51705.0,475.0,1.21,65.0,2.54,750006077530006001
